,precision,recall,f1-score,support
Claims ignorance,0.5443037974683544,0.3412698412698413,0.4195121951219512,126.0
Clarification,0.23214285714285715,0.28888888888888886,0.25742574257425743,45.0
Declining to answer,0.0,0.0,0.0,10.0
Deflection,0.41025641025641024,0.17777777777777778,0.24806201550387597,90.0
Dodging,0.1956521739130435,0.1836734693877551,0.18947368421052632,49.0
Explicit,0.23703703703703705,0.6274509803921569,0.34408602150537637,51.0
General,0.5,0.45454545454545453,0.47619047619047616,22.0
Implicit,0.21428571428571427,0.5454545454545454,0.3076923076923077,11.0
Partial/half-answer,0.6,0.6,0.6,10.0
accuracy,0.32608695652173914,0.32608695652173914,0.32608695652173914,0.32608695652173914
macro avg,0.32596422112260187,0.3576734397462689,0.3158269380887524,414.0
weighted avg,0.3791902711190556,0.32608695652173914,0.32237120744070563,414.0
macro_f1,,,0.3158269380887524,
