,precision,recall,f1-score,support
Explicit,0.4927536231884058,0.2698412698412698,0.3487179487179487,126.0
Dodging,0.21739130434782608,0.2222222222222222,0.21978021978021978,45.0
Implicit,0.06451612903225806,0.2,0.0975609756097561,10.0
Claims ignorance,0.4,0.2,0.26666666666666666,90.0
General,0.20930232558139536,0.1836734693877551,0.1956521739130435,49.0
Deflection,0.25,0.27450980392156865,0.2616822429906542,51.0
Declining to answer,0.2222222222222222,0.36363636363636365,0.27586206896551724,22.0
Clarification,0.08333333333333333,0.45454545454545453,0.14084507042253522,11.0
Partial/half-answer,0.17857142857142858,0.5,0.2631578947368421,10.0
accuracy,0.2536231884057971,0.2536231884057971,0.2536231884057971,0.2536231884057971
macro avg,0.23534337403076325,0.29649206483940377,0.22999169575590928,414.0
weighted avg,0.3360188654649085,0.2536231884057971,0.27049945009224435,414.0
macro_f1,,,0.22999169575590928,
