,precision,recall,f1-score,support
Implicit,0.37117903930131,0.8056872037914692,0.5082212257100149,211.0
Explicit,0.35294117647058826,0.07792207792207792,0.1276595744680851,77.0
Deflection,0.0,0.0,0.0,16.0
Dodging,0.35294117647058826,0.3404255319148936,0.34657039711191334,141.0
General,0.27450980392156865,0.14285714285714285,0.18791946308724833,98.0
Partial/half-answer,0.3684210526315789,0.09210526315789473,0.14736842105263157,76.0
Clarification,1.0,0.10344827586206896,0.1875,29.0
Claims ignorance,0.8333333333333334,0.20833333333333334,0.3333333333333333,24.0
Declining to answer,0.0,0.0,0.0,18.0
accuracy,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664
macro avg,0.3948139535698853,0.19675320320432008,0.20428582386258073,690.0
weighted avg,0.3755969776050412,0.36666666666666664,0.3028760858466461,690.0
macro_f1,,,0.20428582386258073,
