,precision,recall,f1-score,support
Explicit,0.4077669902912621,0.6666666666666666,0.5060240963855421,126.0
Dodging,0.25,0.08888888888888889,0.13114754098360656,45.0
Implicit,0.0,0.0,0.0,10.0
Claims ignorance,0.35106382978723405,0.36666666666666664,0.358695652173913,90.0
General,0.17647058823529413,0.1836734693877551,0.18,49.0
Deflection,0.36363636363636365,0.1568627450980392,0.2191780821917808,51.0
Declining to answer,0.5555555555555556,0.22727272727272727,0.3225806451612903,22.0
Clarification,0.5,0.36363636363636365,0.42105263157894735,11.0
Partial/half-answer,0.8571428571428571,0.6,0.7058823529411765,10.0
accuracy,0.3695652173913043,0.3695652173913043,0.3695652173913043,0.3695652173913043
macro avg,0.3846262427387297,0.2948519475130119,0.31606233349069524,414.0
weighted avg,0.3567887671985142,0.3695652173913043,0.3399240170207782,414.0
macro_f1,,,0.31606233349069524,
